"","year","gdi","countrycode","scenario"
"870",2011,0.891,"LBN","Observed"
"871",2011,1.004,"LSO","Observed"
"872",2011,0.859,"LBR","Observed"
"873",2011,0.928,"LBY","Observed"
"874",2011,1.034,"LTU","Observed"
"875",2011,0.972,"LUX","Observed"
"876",2011,0.942,"MDG","Observed"
"877",2011,0.91,"MWI","Observed"
"878",2011,0.963,"MYS","Observed"
"879",2011,0.932,"MDV","Observed"
"880",2011,0.773,"MLI","Observed"
"881",2011,0.934,"MLT","Observed"
"882",2011,0.826,"MRT","Observed"
"883",2011,0.947,"MUS","Observed"
"884",2011,0.949,"MEX","Observed"
"885",2011,1.01,"MDA","Observed"
"886",2011,1.018,"MNG","Observed"
"887",2011,0.956,"MNE","Observed"
"888",2011,0.822,"MAR","Observed"
"889",2011,0.893,"MOZ","Observed"
"891",2011,0.982,"NAM","Observed"
"892",2011,0.89,"NPL","Observed"
"893",2011,0.968,"NLD","Observed"
"894",2011,0.964,"NZL","Observed"
"895",2011,0.941,"NIC","Observed"
"897",2011,0.868,"NGA","Observed"
"898",2011,0.996,"NOR","Observed"
"899",2011,0.917,"OMN","Observed"
"900",2011,0.72,"PAK","Observed"
"901",2011,0.853,"PSE","Observed"
"902",2011,0.989,"PAN","Observed"
"904",2011,0.977,"PRY","Observed"
"905",2011,0.939,"PER","Observed"
"906",2011,0.99,"PHL","Observed"
"907",2011,1.01,"POL","Observed"
"908",2011,0.989,"PRT","Observed"
"909",2011,0.996,"QAT","Observed"
"910",2011,0.985,"ROU","Observed"
"911",2011,1.024,"RUS","Observed"
"912",2011,0.942,"RWA","Observed"
"913",2011,0.988,"LCA","Observed"
"914",2011,0.867,"STP","Observed"
"915",2011,0.881,"SAU","Observed"
"916",2011,0.881,"SEN","Observed"
"917",2011,0.97,"SRB","Observed"
"918",2011,0.853,"SLE","Observed"
"919",2011,0.977,"SGP","Observed"
